Flight No.,Date and time ( ),Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
75,"5 December 2019, 17:29 [ 481 ]",F9 B5 ♺ B1056.3 [ 482 ],"CCAFS , SLC-40",J,"6,956 kg (15,335 lb) [ 486 ]",GTO,Sky Perfect JSAT Kacific 1
76,"17 December 2019, 00:10 [ 486 ]",F9 B5 ♺ B1049.4,"CCAFS , SLC-40",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
77,"7 January 2020, 02:19:21 [ 492 ]",F9 B5 ♺ B1046.4,"KSC , LC-39A",C,"12,050 kg (26,570 lb)",Sub-orbital [ 496 ],NASA ( CTS ) [ 497 ]
78,"19 January 2020, 15:30 [ 494 ]",F9 B5 ♺ B1051.3,"CCAFS , SLC-40",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
79,"29 January 2020, 14:07 [ 501 ]",F9 B5 ♺ B1056.4,"CCAFS , SLC-40",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
80,"17 February 2020, 15:05 [ 503 ]",F9 B5 ♺ B1059.2,"CCAFS , SLC-40",S,"1,977 kg (4,359 lb) [ 507 ]",LEO ( ISS ),NASA ( CRS )
81,"7 March 2020, 04:50 [ 506 ]",F9 B5 ♺ B1048.5,"KSC , LC-39A",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
82,"18 March 2020, 12:16 [ 510 ]",F9 B5 ♺ B1051.4,"KSC , LC-39A",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
83,"22 April 2020, 19:30 [ 514 ]",F9 B5 B1058.1 [ 518 ],"KSC , LC-39A",C,"12,530 kg (27,620 lb) [ 519 ]",LEO ( ISS ),NASA ( CCDev )
84,"30 May 2020, 19:22 [ 517 ]",F9 B5 ♺ B1049.5,"CCAFS , SLC-40",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
85,"4 June 2020, 01:25 [ 521 ]",F9 B5 ♺ B1059.3,"CCAFS , SLC-40",S,"15,410 kg (33,970 lb) [ 523 ]",LEO,SpaceX Planet Labs
86,"13 June 2020, 09:21 [ 523 ]",F9 B5 B1060.1,"CCAFS , SLC-40",G,"4,311 kg (9,504 lb) [ 530 ]",MEO,U.S. Space Force [ 530 ]
87,"30 June 2020, 20:10:46 [ 529 ]",F9 B5 ♺ B1058.2 [ 544 ],"CCAFS , SLC-40",A,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army
88,"20 July 2020, 21:30 [ 543 ]",F9 B5 ♺ B1051.5,"KSC , LC-39A",S,"14,932 kg (32,919 lb)",LEO,SpaceX Spaceflight Industries (BlackSky)
89,"7 August 2020, 05:12 [ 549 ]",F9 B5 ♺ B1049.6 [ 544 ],"CCAFS , SLC-40",S,"~15,440 kg (34,040 lb)",LEO,SpaceX Planet Labs
90,18 August 2020 14:31 [ 553 ],F9 B5 ♺ B1059.4,"CCAFS , SLC-40",S,"3,130 kg (6,900 lb) [ 558 ]",SSO,CONAE PlanetIQ Tyvak
91,30 August 2020 23:18 [ 555 ],F9 B5 ♺ B1060.2 [ 563 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
92,3 September 2020 12:46:14 [ 562 ],F9 B5 ♺ B1058.3 [ 565 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
93,6 October 2020 11:29:34 [ 564 ],F9 B5 ♺ B1051.6 [ 568 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb) [ 5 ]",LEO,SpaceX
94,18 October 2020 12:25:57 [ 567 ],F9 B5 ♺ B1060.3,"CCAFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
95,24 October 2020 15:31:34 [ 570 ],F9 B5 B1062.1,"CCAFS , SLC-40",G,"4,311 kg (9,504 lb)",MEO,USSF
96,5 November 2020 23:24:23 [ 572 ],F9 B5 B1061.1 [ 582 ],"KSC , LC-39A",C,"~12,500 kg (27,600 lb)",LEO ( ISS ),NASA ( CCP ) [ 497 ]
97,16 November 2020 00:27 [ 581 ],F9 B5 B1063.1,"VAFB , SLC-4E",S,"1,192 kg (2,628 lb)",LEO,NASA / NOAA / ESA / EUMETSAT
98,21 November 2020 17:17:08 [ 587 ],F9 B5 ♺ B1049.7 [ 590 ],"CCAFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
99,25 November 2020 02:13 [ 589 ],F9 B5 ♺ B1058.4 [ 592 ],"KSC , LC-39A",S,"2,972 kg (6,552 lb)",LEO ( ISS ),NASA ( CRS )
100,6 December 2020 16:17:08 [ 591 ],F9 B5 ♺ B1051.7,"CCSFS , SLC-40 [ 597 ]",S,"7,000 kg (15,000 lb)",GTO,Sirius XM
101,13 December 2020 17:30:00 [ 596 ],F9 B5 ♺ B1059.5,"KSC , LC-39A",N,Classified,LEO,NRO
102,19 December 2020 14:00:00 [ 602 ],F9 B5 ♺ B1060.4,"CCSFS , SLC-40",T,"3,500 kg (7,700 lb)",GTO,Türksat
103,8 January 2021 02:15 [ 604 ],F9 B5 ♺ B1051.8 [ 609 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb)",LEO,SpaceX
104,20 January 2021 13:02 [ 608 ],F9 B5 ♺ B1058.5 [ 613 ],"CCSFS , SLC-40",T,"~5,000 kg (11,000 lb)",SSO,Various
105,24 January 2021 15:00 [ 612 ],F9 B5 ♺ B1060.5 [ 624 ],"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
106,4 February 2021 06:19 [ 623 ],F9 B5 ♺ B1059.6,"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
107,16 February 2021 03:59:37 [ 626 ],F9 B5 ♺ B1049.8 [ 634 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb)",LEO,SpaceX
108,4 March 2021 08:24 [ 633 ],F9 B5 ♺ B1058.6 [ 638 ],"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
109,11 March 2021 08:13:29 [ 637 ],F9 B5 ♺ B1051.9,"KSC , LC-39A",S,"15,600 kg (34,400 lb)",LEO,SpaceX
110,14 March 2021 10:01 [ 640 ],F9 B5 ♺ B1060.6 [ 643 ],"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
111,24 March 2021 08:28 [ 642 ],F9 B5 ♺ B1058.7,"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
112,7 April 2021 16:34,F9 B5 ♺ B1061.2 [ 647 ],"KSC , LC-39A",C,"~13,000 kg (29,000 lb) [ 648 ]",LEO ( ISS ),NASA ( CTS ) [ 497 ]
113,23 April 2021 9:49 [ 646 ],F9 B5 ♺ B1060.7 [ 652 ],"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
114,29 April 2021 03:44 [ 651 ],F9 B5 ♺ B1049.9 [ 655 ],"KSC , LC-39A",S,"15,600 kg (34,400 lb)",LEO,SpaceX
115,4 May 2021 19:01 [ 654 ],F9 B5 ♺ B1051.10 [ 657 ],"CCSFS , SLC-40",S,"15,600 kg (34,400 lb)",LEO,SpaceX
116,9 May 2021 06:42 [ 656 ],F9 B5 ♺ B1058.8 [ 660 ],"KSC , LC-39A [ 661 ]",S,"~14,000 kg (31,000 lb)",LEO,SpaceX Capella Space and Tyvak
117,15 May 2021 22:56 [ 659 ],F9 B5 ♺ B1063.2 [ 665 ],"CCSFS , SLC-40 [ 665 ]",S,"15,600 kg (34,400 lb)",LEO,SpaceX
118,26 May 2021 18:59 [ 664 ],F9 B5 B1067.1 [ 668 ],"KSC , LC-39A",S,"3,328 kg (7,337 lb)",LEO ( ISS ),NASA ( CRS )
119,3 June 2021 17:29 [ 667 ],F9 B5 ♺ B1061.3,"CCSFS , SLC-40",S,"7,000 kg (15,000 lb)",GTO,Sirius XM
120,6 June 2021 04:26 [ 673 ],,,,,,
121,,,,,,,
